Student_ID,Month,Hours_Studied,Attendance,Submission_Timeliness,Participation,Extra_C,Previous_Scores,Test_Score,Project_Marks,Backlogs,Exam_Score
1001,Jan,17,91,Late,High,Highly Active,47,18,28,2,59.06
1001,Feb,19,84,Late,High,Active,47,19,28,2,56.02
1001,Mar,37,75,On time,Low,Inactive,47,12,28,2,61.56
1001,Apr,25,86,No Submission,Medium,Inactive,47,30,28,2,63.06
1001,May,36,67,No Submission,High,Inactive,47,13,28,2,58.63
1001,Jun,23,68,On time,Medium,Inactive,47,10,28,2,45.44
1002,Jan,18,68,Late,High,Inactive,47,26,21,3,52.03
1002,Feb,19,59,No Submission,Low,Inactive,47,26,21,3,45.89
1002,Mar,22,52,No Submission,Medium,Active,47,28,21,3,51.11
1002,Apr,29,55,No Submission,High,Highly Active,47,11,21,3,46.5
1002,May,16,56,On time,Medium,Highly Active,47,18,21,3,46.12
1002,Jun,26,69,Late,Medium,Active,47,11,21,3,52.76
1003,Jan,33,84,On time,Medium,Active,75,27,40,5,70.47
1003,Feb,30,98,Late,High,Inactive,75,26,40,5,65.95
1003,Mar,37,69,Late,Low,Highly Active,75,25,40,5,67.04
1003,Apr,8,54,On time,High,Active,75,22,40,5,48.53
1003,May,19,83,On time,High,Active,75,19,40,5,65.85
1003,Jun,29,91,On time,High,Active,75,10,40,5,58.43
1004,Jan,19,81,On time,Medium,Active,47,20,23,5,51.1
1004,Feb,30,54,On time,High,Highly Active,47,27,23,5,58.75
1004,Mar,7,68,No Submission,Medium,Inactive,47,23,23,5,23.29
1004,Apr,30,56,On time,Low,Active,47,11,23,5,50.06
1004,May,29,91,Late,High,Active,47,25,23,5,62.7
1004,Jun,20,65,On time,Low,Inactive,47,15,23,5,35.73
1005,Jan,40,59,On time,Low,Active,82,12,34,4,59.8
1005,Feb,12,55,No Submission,Low,Highly Active,82,20,34,4,45.15
1005,Mar,6,64,On time,Medium,Inactive,82,28,34,4,51.91
1005,Apr,7,69,No Submission,Medium,Inactive,82,23,34,4,34.14
1005,May,20,94,On time,High,Active,82,30,34,4,73.2
1005,Jun,24,100,Late,Medium,Inactive,82,22,34,4,59.19
1006,Jan,18,97,No Submission,High,Active,100,23,25,4,58.09
1006,Feb,20,72,On time,Low,Inactive,100,26,25,4,53.42
