Student_ID,Month,Hours_Studied,Attendance,Previous_Scores,Test_Score,Project_Marks,Submission_Timeliness,Participation,Extra_C,Backlogs,Exam_Score,engagement_feature,risk_feature,balance_feature,activeness_feature
1001,Jan,17,91,47,18,28,0,10,10,2,59.06,9.55,-0.7,2.12,10.0
1001,Feb,19,84,47,19,28,0,10,5,2,56.02,9.2,-0.7,2.38,7.5
1001,Mar,37,75,47,12,28,10,0,0,2,61.56,3.75,-0.7,9.62,0.0
1001,Apr,25,86,47,30,28,-10,5,0,2,63.06,6.8,-0.7,-1.88,2.5
1001,May,36,67,47,13,28,-10,10,0,2,58.63,8.35,-0.7,-0.5,5.0
1001,Jun,23,68,47,10,28,10,5,0,2,45.44,5.9,-0.7,7.88,2.5
1002,Jan,18,68,47,26,21,0,10,0,3,52.03,8.4,1.3,2.25,5.0
1002,Feb,19,59,47,26,21,-10,0,0,3,45.89,2.95,1.3,-2.62,0.0
1002,Mar,22,52,47,28,21,-10,5,5,3,51.11,5.1,1.3,-2.25,5.0
1002,Apr,29,55,47,11,21,-10,10,10,3,46.5,7.75,1.3,-1.38,10.0
1002,May,16,56,47,18,21,10,5,10,3,46.12,5.3,1.3,7.0,7.5
1002,Jun,26,69,47,11,21,0,5,5,3,52.76,5.95,1.3,3.25,5.0
1003,Jan,33,84,75,27,40,10,5,5,5,70.47,6.7,2.5,9.12,5.0
1003,Feb,30,98,75,26,40,0,10,0,5,65.95,9.9,2.5,3.75,5.0
1003,Mar,37,69,75,25,40,0,0,10,5,67.04,3.45,2.5,4.62,5.0
1003,Apr,8,54,75,22,40,10,10,5,5,48.53,7.7,2.5,6.0,7.5
1003,May,19,83,75,19,40,10,10,5,5,65.85,9.15,2.5,7.38,7.5
1003,Jun,29,91,75,10,40,10,10,5,5,58.43,9.55,2.5,8.62,7.5
1004,Jan,19,81,47,20,23,10,5,5,5,51.1,6.55,5.3,7.38,5.0
1004,Feb,30,54,47,27,23,10,10,10,5,58.75,7.7,5.3,8.75,10.0
1004,Mar,7,68,47,23,23,-10,5,0,5,23.29,5.9,5.3,-4.12,2.5
1004,Apr,30,56,47,11,23,10,0,5,5,50.06,2.8,5.3,8.75,2.5
1004,May,29,91,47,25,23,0,10,5,5,62.7,9.55,5.3,3.62,7.5
1004,Jun,20,65,47,15,23,10,0,0,5,35.73,3.25,5.3,7.5,0.0
1005,Jan,40,59,82,12,34,10,0,5,4,59.8,2.95,-0.2,10.0,2.5
1005,Feb,12,55,82,20,34,-10,0,10,4,45.15,2.75,-0.2,-3.5,5.0
1005,Mar,6,64,82,28,34,10,5,0,4,51.91,5.7,-0.2,5.75,2.5
1005,Apr,7,69,82,23,34,-10,5,0,4,34.14,5.95,-0.2,-4.12,2.5
1005,May,20,94,82,30,34,10,10,5,4,73.2,9.7,-0.2,7.5,7.5
1005,Jun,24,100,82,22,34,0,5,0,4,59.19,7.5,-0.2,3.0,2.5
1006,Jan,18,97,100,23,25,-10,10,5,4,58.09,9.85,-2.0,-2.75,7.5
1006,Feb,20,72,100,26,25,10,0,0,4,53.42,3.6,-2.0,7.5,0.0
1006,Mar,16,65,100,12,25,0,5,5,4,43.46,5.75,-2.0,2.0,5.0
1006,Apr,16,65,100,24,25,-10,0,0,4,42.74,3.25,-2.0,-3.0,0.0
1006,May,22,93,100,10,25,-10,10,0,4,45.46,9.65,-2.0,-2.25,5.0
1006,Jun,7,99,100,16,25,10,5,5,4,45.64,7.45,-2.0,5.88,5.0
1007,Jan,22,79,58,22,25,-10,5,10,4,44.85,6.45,2.2,-2.25,7.5
1007,Feb,37,96,58,30,25,-10,5,10,4,67.17,7.3,2.2,-0.38,7.5
1007,Mar,27,61,58,21,25,0,0,5,4,51.48,3.05,2.2,3.38,2.5
1007,Apr,7,58,58,15,25,-10,0,5,4,30.0,2.9,2.2,-4.12,2.5
1007,May,6,80,58,25,25,-10,5,0,4,36.46,6.5,2.2,-4.25,2.5
1007,Jun,8,77,58,30,25,10,0,5,4,47.57,3.85,2.2,6.0,2.5
1008,Jan,38,79,79,24,12,0,10,5,0,70.83,8.95,-7.9,4.75,7.5
1008,Feb,7,83,79,10,12,-10,0,0,0,33.76,4.15,-7.9,-4.12,0.0
1008,Mar,40,70,79,11,12,-10,10,0,0,55.73,8.5,-7.9,0.0,5.0
1008,Apr,25,96,79,26,12,10,0,5,0,69.91,4.8,-7.9,8.12,2.5
1008,May,28,59,79,22,12,0,5,5,0,61.09,5.45,-7.9,3.5,5.0
1008,Jun,6,69,79,12,12,0,10,10,0,46.12,8.45,-7.9,0.75,10.0
1009,Jan,13,59,55,26,20,0,10,10,0,60.34,7.95,-5.5,1.62,10.0
1009,Feb,23,91,55,26,20,-10,10,0,0,61.65,9.55,-5.5,-2.12,5.0
1009,Mar,23,88,55,11,20,10,0,10,0,61.31,4.4,-5.5,7.88,5.0
1009,Apr,32,76,55,16,20,-10,0,0,0,57.16,3.8,-5.5,-1.0,0.0
1009,May,31,73,55,11,20,-10,5,10,0,58.76,6.15,-5.5,-1.12,7.5
1009,Jun,28,71,55,22,20,10,0,0,0,65.67,3.55,-5.5,8.5,0.0
1010,Jan,8,85,45,18,30,0,0,5,0,43.4,4.25,-4.5,1.0,2.5
1010,Feb,20,84,45,21,30,-10,0,10,0,60.27,4.2,-4.5,-2.5,5.0
1010,Mar,5,100,45,22,30,-10,5,10,0,50.97,7.5,-4.5,-4.38,7.5
1010,Apr,33,75,45,22,30,10,5,5,0,73.66,6.25,-4.5,9.12,5.0
1010,May,20,70,45,17,30,-10,5,10,0,59.03,6.0,-4.5,-2.5,7.5
1010,Jun,21,55,45,19,30,0,10,0,0,57.91,7.75,-4.5,2.62,5.0
1011,Jan,19,57,85,28,11,-10,10,10,4,45.48,7.85,-0.5,-2.62,10.0
1011,Feb,39,59,85,22,11,10,10,5,4,68.46,7.95,-0.5,9.88,7.5
1011,Mar,17,88,85,27,11,10,10,0,4,54.44,9.4,-0.5,7.12,5.0
1011,Apr,33,89,85,14,11,10,0,0,4,57.14,4.45,-0.5,9.12,0.0
1011,May,23,95,85,22,11,0,5,5,4,47.61,7.25,-0.5,2.88,5.0
1011,Jun,25,89,85,14,11,10,10,5,4,55.61,9.45,-0.5,8.12,7.5
1012,Jan,40,60,69,12,15,10,0,5,1,57.11,3.0,-4.9,10.0,2.5
1012,Feb,31,64,69,14,15,10,10,10,1,62.06,8.2,-4.9,8.88,10.0
1012,Mar,13,60,69,13,15,0,5,5,1,41.66,5.5,-4.9,1.62,5.0
1012,Apr,15,90,69,15,15,0,0,0,1,42.32,4.5,-4.9,1.88,0.0
1012,May,16,73,69,27,15,10,10,5,1,62.09,8.65,-4.9,7.0,7.5
1012,Jun,9,75,69,20,15,0,0,5,1,35.5,3.75,-4.9,1.12,2.5
1013,Jan,8,86,43,17,10,-10,0,5,2,32.96,4.3,-0.3,-4.0,2.5
1013,Feb,25,71,43,17,10,0,10,5,2,50.35,8.55,-0.3,3.12,7.5
1013,Mar,17,80,43,22,10,0,0,0,2,36.67,4.0,-0.3,2.12,0.0
1013,Apr,40,91,43,10,10,-10,5,0,2,45.57,7.05,-0.3,0.0,2.5
1013,May,24,50,43,10,10,0,5,10,2,36.03,5.0,-0.3,3.0,7.5
1013,Jun,10,54,43,11,10,0,0,5,2,30.27,2.7,-0.3,1.25,2.5
1014,Jan,16,56,96,29,40,10,10,0,5,55.3,7.8,0.4,7.0,5.0
1014,Feb,21,71,96,23,40,10,5,0,5,54.09,6.05,0.4,7.62,2.5
1014,Mar,40,95,96,11,40,10,10,0,5,76.34,9.75,0.4,10.0,5.0
1014,Apr,19,83,96,23,40,10,0,5,5,53.78,4.15,0.4,7.38,2.5
1014,May,7,70,96,30,40,10,0,0,5,54.52,3.5,0.4,5.88,0.0
1014,Jun,39,55,96,26,40,0,10,0,5,75.05,7.75,0.4,4.88,5.0
1015,Jan,36,75,93,22,28,0,0,0,2,69.5,3.75,-5.3,4.5,0.0
1015,Feb,32,55,93,17,28,-10,10,0,2,59.32,7.75,-5.3,-1.0,5.0
1015,Mar,35,93,93,27,28,-10,5,5,2,75.75,7.15,-5.3,-0.62,5.0
1015,Apr,21,67,93,13,28,-10,10,5,2,46.74,8.35,-5.3,-2.38,7.5
1015,May,21,75,93,28,28,-10,0,0,2,50.65,3.75,-5.3,-2.38,0.0
1015,Jun,9,88,93,29,28,-10,10,10,2,56.48,9.4,-5.3,-3.88,10.0
1016,Jan,31,71,56,28,30,10,0,0,5,66.29,3.55,4.4,8.88,0.0
1016,Feb,8,66,56,28,30,0,5,0,5,34.92,5.8,4.4,1.0,2.5
1016,Mar,26,89,56,26,30,10,10,5,5,68.56,9.45,4.4,8.25,7.5
1016,Apr,33,64,56,29,30,10,5,10,5,66.06,5.7,4.4,9.12,7.5
1016,May,30,83,56,29,30,-10,0,0,5,49.52,4.15,4.4,-1.25,0.0
1016,Jun,21,54,56,26,30,10,5,10,5,54.38,5.2,4.4,7.62,7.5
1017,Jan,21,96,55,21,29,0,10,10,5,52.48,9.8,4.5,2.62,10.0
1017,Feb,38,66,55,13,29,0,0,10,5,51.37,3.3,4.5,4.75,5.0
1017,Mar,38,72,55,27,29,0,0,10,5,64.72,3.6,4.5,4.75,5.0
1017,Apr,28,67,55,23,29,0,10,10,5,55.05,8.35,4.5,3.5,10.0
1017,May,9,53,55,16,29,-10,0,0,5,20.52,2.65,4.5,-3.88,0.0
1017,Jun,29,96,55,11,29,0,5,0,5,54.15,7.3,4.5,3.62,2.5
1018,Jan,19,98,41,19,37,0,10,5,5,57.04,9.9,5.9,2.38,7.5
1018,Feb,21,63,41,27,37,-10,5,5,5,51.87,5.65,5.9,-2.38,5.0
1018,Mar,5,58,41,24,37,0,0,0,5,37.85,2.9,5.9,0.62,0.0
1018,Apr,24,60,41,16,37,0,5,5,5,46.15,5.5,5.9,3.0,5.0
1018,May,25,70,41,28,37,-10,0,5,5,54.92,3.5,5.9,-1.88,2.5
1018,Jun,26,69,41,15,37,-10,5,10,5,48.09,5.95,5.9,-1.75,7.5
1019,Jan,18,50,94,20,14,-10,10,0,2,47.03,7.5,-5.4,-2.75,5.0
1019,Feb,16,82,94,17,14,0,0,0,2,43.45,4.1,-5.4,2.0,0.0
1019,Mar,35,68,94,15,14,-10,10,10,2,60.22,8.4,-5.4,-0.62,10.0
1019,Apr,16,72,94,24,14,0,0,0,2,51.74,3.6,-5.4,2.0,0.0
1019,May,18,66,94,18,14,0,0,5,2,40.93,3.3,-5.4,2.25,2.5
1019,Jun,16,69,94,30,14,-10,0,0,2,43.59,3.45,-5.4,-3.0,0.0
1020,Jan,6,69,80,16,19,-10,5,0,5,21.25,5.95,2.0,-4.25,2.5
1020,Feb,12,60,80,24,19,0,5,10,5,43.14,5.5,2.0,1.5,7.5
1020,Mar,24,92,80,29,19,10,0,10,5,66.24,4.6,2.0,8.0,5.0
1020,Apr,40,61,80,14,19,10,10,5,5,64.18,8.05,2.0,10.0,7.5
1020,May,25,61,80,14,19,10,0,5,5,50.44,3.05,2.0,8.12,2.5
1020,Jun,20,52,80,28,19,0,5,5,5,47.6,5.1,2.0,2.5,5.0
1021,Jan,19,67,64,16,37,10,10,10,0,70.79,8.35,-6.4,7.38,10.0
1021,Feb,39,91,64,28,37,10,0,0,0,87.14,4.55,-6.4,9.88,0.0
1021,Mar,5,97,64,26,37,10,5,0,0,56.26,7.35,-6.4,5.62,2.5
1021,Apr,6,52,64,18,37,-10,0,5,0,34.77,2.6,-6.4,-4.25,2.5
1021,May,16,73,64,21,37,10,10,0,0,66.43,8.65,-6.4,7.0,5.0
1021,Jun,16,67,64,14,37,-10,0,5,0,51.77,3.35,-6.4,-3.0,2.5
1022,Jan,21,64,81,16,12,10,0,0,2,50.46,3.2,-4.1,7.62,0.0
1022,Feb,33,67,81,25,12,0,5,0,2,55.18,5.85,-4.1,4.12,2.5
1022,Mar,28,65,81,19,12,-10,0,5,2,45.45,3.25,-4.1,-1.5,2.5
1022,Apr,6,54,81,10,12,10,10,0,2,38.13,7.7,-4.1,5.75,5.0
1022,May,16,71,81,22,12,-10,5,10,2,42.65,6.05,-4.1,-3.0,7.5
1022,Jun,37,97,81,14,12,10,0,5,2,67.95,4.85,-4.1,9.62,2.5
1023,Jan,28,54,42,20,14,10,10,5,2,52.18,7.7,-0.2,8.5,7.5
1023,Feb,7,77,42,22,14,-10,5,5,2,36.68,6.35,-0.2,-4.12,5.0
1023,Mar,38,54,42,10,14,0,10,0,2,51.29,7.7,-0.2,4.75,5.0
1023,Apr,37,80,42,27,14,10,10,10,2,75.7,9.0,-0.2,9.62,10.0
1023,May,36,54,42,21,14,-10,5,5,2,56.24,5.2,-0.2,-0.5,5.0
1023,Jun,13,77,42,18,14,0,5,5,2,41.75,6.35,-0.2,1.62,5.0
1024,Jan,8,91,99,22,27,0,5,5,2,46.9,7.05,-5.9,1.0,5.0
1024,Feb,23,90,99,21,27,-10,10,10,2,59.82,9.5,-5.9,-2.12,10.0
1024,Mar,25,52,99,27,27,10,0,0,2,62.69,2.6,-5.9,8.12,0.0
1024,Apr,14,82,99,24,27,-10,0,0,2,51.64,4.1,-5.9,-3.25,0.0
1024,May,32,87,99,26,27,0,10,5,2,68.4,9.35,-5.9,4.0,7.5
1024,Jun,29,87,99,11,27,0,10,0,2,64.55,9.35,-5.9,3.62,5.0
1025,Jan,27,56,68,17,16,0,10,5,1,57.0,7.8,-4.8,3.38,7.5
1025,Feb,11,58,68,20,16,-10,10,10,1,40.87,7.9,-4.8,-3.62,10.0
1025,Mar,28,97,68,22,16,10,0,0,1,61.73,4.85,-4.8,8.5,0.0
1025,Apr,34,74,68,17,16,-10,0,5,1,54.54,3.7,-4.8,-0.75,2.5
1025,May,21,95,68,16,16,-10,0,10,1,52.5,4.75,-4.8,-2.38,5.0
1025,Jun,24,91,68,20,16,-10,0,10,1,49.7,4.55,-4.8,-2.0,5.0
1026,Jan,13,57,70,29,13,-10,5,10,1,46.82,5.35,-5.0,-3.38,7.5
1026,Feb,31,77,70,29,13,0,5,5,1,61.1,6.35,-5.0,3.88,5.0
1026,Mar,36,66,70,22,13,0,5,0,1,66.82,5.8,-5.0,4.5,2.5
1026,Apr,34,77,70,13,13,10,10,10,1,64.13,8.85,-5.0,9.25,10.0
1026,May,16,84,70,29,13,10,5,0,1,62.02,6.7,-5.0,7.0,2.5
1026,Jun,19,72,70,23,13,-10,0,5,1,50.24,3.6,-5.0,-2.62,2.5
1027,Jan,33,82,97,28,16,-10,5,10,5,55.38,6.6,0.3,-0.88,7.5
1027,Feb,29,91,97,30,16,0,0,0,5,58.09,4.55,0.3,3.62,0.0
1027,Mar,5,88,97,24,16,0,5,0,5,41.58,6.9,0.3,0.62,2.5
1027,Apr,30,90,97,20,16,10,5,0,5,60.57,7.0,0.3,8.75,2.5
1027,May,21,59,97,13,16,0,5,10,5,37.62,5.45,0.3,2.62,7.5
1027,Jun,21,65,97,29,16,10,10,5,5,52.56,8.25,0.3,7.62,7.5
1028,Jan,23,89,60,27,31,0,0,10,5,54.89,4.45,4.0,2.88,5.0
1028,Feb,9,92,60,26,31,-10,10,0,5,39.05,9.6,4.0,-3.88,5.0
1028,Mar,32,58,60,14,31,0,0,0,5,46.8,2.9,4.0,4.0,0.0
1028,Apr,31,86,60,13,31,0,10,5,5,54.43,9.3,4.0,3.88,7.5
1028,May,13,95,60,18,31,0,10,0,5,45.83,9.75,4.0,1.62,5.0
1028,Jun,12,80,60,27,31,-10,10,10,5,48.71,9.0,4.0,-3.5,10.0
1029,Jan,23,57,42,26,23,-10,0,5,4,40.29,2.85,3.8,-2.12,2.5
1029,Feb,31,89,42,21,23,-10,10,10,4,61.03,9.45,3.8,-1.12,10.0
1029,Mar,27,65,42,24,23,-10,5,10,4,48.8,5.75,3.8,-1.62,7.5
1029,Apr,16,56,42,18,23,0,5,10,4,46.88,5.3,3.8,2.0,7.5
1029,May,11,92,42,30,23,10,10,0,4,55.6,9.6,3.8,6.38,5.0
1029,Jun,8,66,42,21,23,-10,10,10,4,37.63,8.3,3.8,-4.0,10.0
1030,Jan,6,73,54,30,15,-10,5,0,4,29.04,6.15,2.6,-4.25,2.5
1030,Feb,19,59,54,18,15,0,5,5,4,44.06,5.45,2.6,2.38,5.0
1030,Mar,21,70,54,15,15,-10,5,10,4,40.87,6.0,2.6,-2.38,7.5
1030,Apr,23,64,54,23,15,10,0,5,4,47.19,3.2,2.6,7.88,2.5
1030,May,17,86,54,22,15,-10,0,0,4,31.75,4.3,2.6,-2.88,0.0
1030,Jun,33,56,54,16,15,-10,5,10,4,52.82,5.3,2.6,-0.88,7.5
1031,Jan,34,80,51,16,28,10,0,0,4,53.51,4.0,2.9,9.25,0.0
1031,Feb,5,62,51,13,28,0,5,5,4,31.28,5.6,2.9,0.62,5.0
1031,Mar,27,65,51,17,28,10,0,10,4,60.47,3.25,2.9,8.38,5.0
1031,Apr,36,98,51,28,28,10,10,0,4,76.33,9.9,2.9,9.5,5.0
1031,May,9,100,51,23,28,-10,5,0,4,36.19,7.5,2.9,-3.88,2.5
1031,Jun,32,53,51,19,28,-10,5,0,4,48.05,5.15,2.9,-1.0,2.5
1032,Jan,34,74,72,13,10,-10,0,10,4,45.51,3.7,0.8,-0.75,5.0
1032,Feb,35,95,72,15,10,-10,0,10,4,53.83,4.75,0.8,-0.62,5.0
1032,Mar,7,65,72,25,10,0,10,10,4,36.8,8.25,0.8,0.88,10.0
1032,Apr,7,53,72,10,10,0,10,10,4,32.65,7.65,0.8,0.88,10.0
1032,May,8,58,72,18,10,-10,0,5,4,26.52,2.9,0.8,-4.0,2.5
1032,Jun,21,54,72,10,10,0,5,5,4,40.75,5.2,0.8,2.62,5.0
