Student_ID,Month,Hours_Studied,Attendance,Submission_Timeliness,Participation,Extra_C,Previous_Scores,Test_Score,Project_Marks,Backlogs,Exam_Score
1001,Jan,9,61,No Submmission,High,Active,43,29,16,4,38.34
1001,Feb,23,62,No Submmission,Medium,Highly Active,43,13,16,4,39.79
1001,Mar,,95,,Medium,Inactive,43,15,16,4,27.01
1001,Apr,35,64,NaN,Low,Highly Active,43,13,NaN,4,45.51
1001,May,9,,No Submmission,Medium,Active,43,16,16,4,13.38
1001,Jun,8,52,No Submmission,Medium,Inactive,43,29,16,4,29.92
1002,Jan,17,51,No Submmission,Low,Highly Active,80,27,25,2,53.36
1002,Feb,16,50,No Submmission,Medium,Inactive,80,25,25,2,41.4
1002,Mar,21,86,,Low,Active,80,11,,2,38.36
1002,Apr,NaN,82,,Medium,Active,80,18,,2,33.48
1002,May,5,87,Late,Low,NaN,80,NaN,25,2,31.85
1002,Jun,NaN,71,NaN,Low,Active,80,20,,2,21.77
1003,Jan,5,95,Late,Medium,Active,48,30,32,1,50.45
1003,Feb,5,77,No Submmission,,Active,48,19,32,1,42.29
1003,Mar,19,94,On time,High,Inactive,48,24,32,1,59.92
1003,Apr,36,50,No Submmission,Medium,Highly Active,48,,32,1,56.15
1003,May,NaN,100,Late,High,Inactive,48,12,32,1,37.03
1003,Jun,15,59,Late,High,Highly Active,48,26,32,1,53.58
1004,Jan,16,56,No Submmission,Low,Inactive,93,12,,2,30.28
1004,Feb,39,88,No Submmission,Low,Active,93,20,35,2,72.81
1004,Mar,31,57,On time,Medium,Inactive,93,10,35,2,57.54
1004,Apr,21,95,On time,Medium,Active,93,14,35,2,66.84
1004,Jun,7,79,No Submmission,High,Inactive,93,24,,2,30.59
1005,Jan,29,57,No Submmission,High,Inactive,46,23,32,1,59.39
1005,Feb,,65,On time,,Inactive,46,25,32,1,39.56
1005,Mar,5,98,No Submmission,NaN,,46,19,32,1,36.01
1005,Apr,32,76,Late,Medium,NaN,46,,,1,43.21
1005,May,31,52,No Submmission,High,Highly Active,46,17,,1,53.96
1005,Jun,NaN,94,On time,Medium,Active,46,29,32,1,49.61
1006,Jan,32,85,Late,,Inactive,95,10,33,1,58.8
1006,Feb,36,54,No Submmission,High,Active,95,20,33,1,70.25
1006,Mar,5,61,Late,Low,Inactive,95,22,33,1,42.58
1006,Apr,34,58,No Submmission,,Active,95,15,33,1,57.6
1006,May,,,No Submmission,Medium,Highly Active,95,12,33,1,28.75
1006,Jun,18,63,No Submmission,Medium,,95,19,,1,39.64
1007,Jan,22,64,Late,,Active,90,,36,3,37.81
1007,Feb,26,50,On time,Low,,90,22,,3,48.95
1007,Mar,40,71,On time,High,Highly Active,90,26,36,3,85.82
1007,Apr,23,59,On time,Medium,Highly Active,90,23,36,3,70.27
1007,May,NaN,63,NaN,Low,Active,90,12,36,3,29.03
1007,Jun,8,76,NaN,,,90,17,36,3,37.11
1008,Jan,,82,Late,,Active,63,NaN,24,3,18.98
1008,Feb,22,67,Late,Low,Inactive,63,17,24,3,42.5
1008,Mar,22,65,Late,Low,Active,63,16,24,3,46.71
1008,Apr,7,66,On time,Medium,Active,63,24,24,3,50.51
1008,May,36,,,Medium,Active,63,30,24,3,59.72
1008,Jun,,89,Late,Low,Active,63,22,24,3,29.53
1009,Jan,12,94,No Submmission,High,Highly Active,88,18,22,2,52.46
1009,Feb,30,NaN,No Submmission,High,Inactive,88,,,2,26.24
1009,Mar,27,,,Low,,88,18,22,2,41.28
1009,Apr,13,56,Late,High,Active,88,29,22,2,50.49
1009,May,18,92,No Submmission,Medium,Active,88,17,22,2,43.69
1009,Jun,27,61,Late,Low,Highly Active,88,26,NaN,2,55.09
1010,Jan,,94,Late,Medium,Active,41,18,,5,14.36
1010,Mar,9,,Late,,Inactive,41,12,38,5,26.82
1010,Apr,16,57,No Submmission,High,Active,41,,38,5,28.41
1010,May,37,71,No Submmission,High,Active,41,22,38,5,66.89
1010,Jun,7,52,No Submmission,Low,Active,41,12,38,5,25.12
1011,Jan,24,99,No Submmission,High,Inactive,41,29,33,5,56.59
1011,Feb,23,,Late,,Active,41,25,33,5,45.87
1011,Mar,21,65,No Submmission,Medium,Highly Active,41,24,33,5,43.37
1011,Apr,36,85,On time,,,41,30,33,5,74.67
1011,May,27,61,On time,NaN,NaN,41,24,,5,38.92
1011,Jun,5,NaN,On time,Medium,Active,41,23,,5,21.86
1012,Jan,5,56,,High,Highly Active,91,25,30,1,56.79
1012,Feb,35,58,No Submmission,,Inactive,91,,30,1,46.99
1012,Mar,14,95,,Medium,Active,91,13,30,1,57.46
1012,Apr,25,91,No Submmission,High,Inactive,91,22,30,1,67.47
1012,May,39,60,Late,Low,Inactive,91,11,30,1,58.38
1012,Jun,27,54,On time,Low,,91,22,30,1,66.85
1013,Jan,7,52,,NaN,Active,52,26,12,5,23.66
1013,Mar,NaN,60,Late,Low,Highly Active,52,22,12,5,26.76
1013,Apr,,,No Submmission,Medium,,52,16,12,5,11.79
1013,May,11,74,No Submmission,Medium,Highly Active,52,21,12,5,27.78
1013,Jun,24,,No Submmission,High,Inactive,52,30,12,5,31.07
1014,Feb,22,98,On time,Low,Active,82,,17,4,42.72
1014,Mar,17,54,Late,Medium,Active,82,21,17,4,46.28
1014,May,13,89,No Submmission,Low,Inactive,82,27,17,4,33.52
1014,Jun,28,NaN,On time,Medium,Highly Active,82,10,,4,38.63
1015,Jan,35,59,Late,High,Inactive,70,20,28,2,62.48
1015,Feb,26,52,,Medium,Highly Active,70,30,28,2,66.54
1015,Mar,26,53,,,Inactive,70,,28,2,42.31
1015,Apr,14,74,Late,High,Highly Active,70,27,28,2,61.53
1015,May,10,83,,Medium,Active,70,21,28,2,43.67
1015,Jun,26,74,On time,High,Inactive,70,20,28,2,59.97
1016,Jan,6,74,NaN,Medium,Active,68,11,13,3,30.36
1016,Feb,22,57,Late,High,Highly Active,68,19,13,3,43.51
1016,Mar,37,68,No Submmission,High,Inactive,68,23,13,3,60.94
1016,Apr,,72,No Submmission,Low,Active,68,13,13,3,14.19
1016,May,36,100,,Medium,Highly Active,68,19,,3,61.0
1016,Jun,20,68,On time,Medium,,68,28,13,3,52.25
1017,Jan,19,51,Late,Low,Highly Active,52,,30,1,41.38
1017,Feb,15,97,No Submmission,NaN,Active,52,21,30,1,48.77
1017,Mar,30,,No Submmission,Low,Inactive,52,19,30,1,49.43
1017,Apr,23,95,On time,Low,NaN,52,29,30,1,63.62
1017,May,,60,On time,Medium,Inactive,52,13,30,1,36.87
1017,Jun,,NaN,NaN,,Active,52,,30,1,17.36
1018,Jan,18,53,No Submmission,High,Active,63,24,32,0,59.05
1018,Feb,24,72,No Submmission,Medium,Active,63,19,32,0,56.59
1018,Mar,8,90,On time,Low,Highly Active,63,26,,0,51.97
1018,Apr,14,69,No Submmission,High,Inactive,63,18,,0,40.73
1018,May,14,52,On time,Medium,Active,63,10,32,0,52.57
1018,Jun,14,69,No Submmission,Low,,63,29,32,0,55.81
1019,Jan,7,98,No Submmission,,Highly Active,49,10,25,5,24.79
1019,Feb,8,80,No Submmission,,Inactive,49,29,25,5,35.52
1019,Mar,39,63,No Submmission,Medium,Active,49,,25,5,40.42
1019,Apr,,80,No Submmission,Medium,Inactive,49,29,25,5,28.81
1019,Jun,9,NaN,Late,Low,,49,30,25,5,29.63
1020,Jan,,88,Late,High,Highly Active,56,15,21,2,41.32
1020,Feb,10,68,NaN,NaN,Highly Active,56,15,21,2,43.06
1020,Mar,15,70,NaN,Medium,Inactive,56,NaN,21,2,30.09
1020,Apr,39,56,No Submmission,High,Active,56,24,NaN,2,61.62
1020,Jun,14,NaN,,Medium,Inactive,56,16,21,2,32.94
1021,Jan,6,NaN,No Submmission,Low,Active,98,,39,3,26.66
1021,Feb,12,96,,Low,Highly Active,98,11,39,3,46.43
1021,Mar,28,54,Late,Medium,Highly Active,98,24,39,3,64.85
1021,Apr,11,82,On time,Low,Active,98,10,39,3,53.46
1021,May,26,,On time,Low,,98,14,,3,34.01
1021,Jun,29,53,No Submmission,Medium,Highly Active,98,16,39,3,55.18
1022,Jan,35,88,On time,Medium,Inactive,92,21,32,2,80.93
1022,Feb,17,87,Late,High,Highly Active,92,21,32,2,60.19
1022,Mar,27,NaN,,Medium,Highly Active,92,22,32,2,63.48
1022,Apr,25,60,,Medium,Highly Active,92,13,32,2,55.63
1022,May,35,NaN,On time,High,,92,,,2,34.19
1022,Jun,,,Late,Medium,Highly Active,92,11,32,2,27.68
1023,Jan,28,95,No Submmission,Medium,Highly Active,77,11,11,0,50.62
1023,Feb,,91,No Submmission,High,Highly Active,77,19,NaN,0,33.12
1023,Mar,23,74,On time,,Active,77,,11,0,40.09
1023,Apr,23,79,No Submmission,High,Inactive,77,21,,0,48.43
1023,May,32,92,Late,,Inactive,77,25,11,0,59.81
1023,Jun,37,76,No Submmission,,Highly Active,77,22,11,0,61.27
1024,Jan,NaN,91,Late,Medium,Highly Active,92,,32,1,37.43
1024,Feb,7,59,No Submmission,High,Highly Active,92,20,32,1,41.92
1024,Mar,29,,Late,Low,,92,30,32,1,61.43
1024,Apr,,75,Late,High,Active,92,22,32,1,46.56
1024,May,15,73,No Submmission,Low,Highly Active,92,23,32,1,50.75
1024,Jun,NaN,87,,Low,Inactive,92,23,32,1,38.62
1025,Jan,37,62,No Submmission,High,Active,80,NaN,NaN,5,32.69
1025,Feb,8,81,On time,High,Active,80,21,36,5,46.9
1025,Mar,37,,,Medium,,80,30,36,5,62.66
1025,Apr,16,66,On time,Medium,Highly Active,80,26,36,5,57.54
1025,May,38,78,On time,High,Active,80,27,,5,61.02
1025,Jun,10,73,Late,Low,Highly Active,80,11,36,5,34.02
1026,Jan,18,NaN,Late,Low,Active,92,29,11,1,49.06
1026,Feb,7,75,No Submmission,,Highly Active,92,20,11,1,36.85
1026,Mar,31,76,No Submmission,High,Active,92,29,11,1,68.8
1026,Apr,14,73,NaN,Low,Inactive,92,29,11,1,52.1
1026,May,18,60,Late,High,Inactive,92,NaN,11,1,38.26
1026,Jun,10,52,No Submmission,Low,Inactive,92,22,11,1,35.51
1027,Jan,37,97,On time,Low,Active,77,21,19,5,69.13
1027,Feb,40,87,On time,Medium,Active,77,29,19,5,70.46
1027,Mar,20,92,No Submmission,Medium,Active,77,,19,5,36.81
1027,Apr,30,66,Late,,Inactive,77,24,19,5,46.0
1027,May,18,78,On time,Medium,Inactive,77,,19,5,30.74
1027,Jun,23,NaN,Late,Medium,Active,77,14,19,5,34.28
1028,Jan,18,70,On time,Low,Highly Active,60,14,20,3,52.1
1028,Feb,NaN,57,No Submmission,High,Inactive,60,,20,3,17.86
1028,Mar,NaN,73,On time,High,,60,25,,3,29.91
1028,May,9,71,Late,Low,Highly Active,60,,20,3,32.28
1028,Jun,,NaN,NaN,NaN,NaN,60,28,20,3,29.19
1029,Jan,25,,NaN,Low,Inactive,84,18,32,5,42.11
1029,Feb,37,80,On time,,Inactive,84,16,32,5,63.81
1029,Mar,39,54,No Submmission,High,,84,NaN,32,5,51.52
1029,Apr,18,71,No Submmission,Low,Active,84,22,32,5,46.03
1029,May,,91,Late,High,Highly Active,84,,32,5,34.62
1029,Jun,16,89,On time,,Highly Active,84,26,32,5,60.98
1030,Jan,22,98,Late,High,Inactive,78,14,12,4,42.01
1030,Feb,25,92,No Submmission,Low,Highly Active,78,19,,4,43.59
1030,Mar,11,NaN,Late,High,,78,28,12,4,35.93
1030,Apr,37,90,No Submmission,Medium,Highly Active,78,28,,4,60.99
1030,May,6,81,On time,High,Inactive,78,17,12,4,38.38
1030,Jun,14,82,On time,High,Highly Active,78,25,12,4,52.88
1031,Jan,NaN,61,On time,NaN,Highly Active,53,18,,5,24.65
1031,Feb,26,,No Submmission,Low,Inactive,53,13,20,5,29.61
1031,Mar,31,54,Late,Medium,Active,53,24,20,5,57.81
1031,Apr,30,79,On time,Low,Inactive,53,21,20,5,53.07
1031,May,30,57,No Submmission,NaN,Inactive,53,15,,5,26.97
1031,Jun,29,86,On time,,Inactive,53,NaN,20,5,41.39
1032,Jan,9,NaN,On time,Medium,Inactive,84,26,18,0,40.61
1032,Feb,8,,On time,High,Active,84,NaN,18,0,27.61
1032,Mar,37,76,Late,Low,Highly Active,84,17,,0,57.72
1032,Apr,35,,No Submmission,Low,Highly Active,84,11,18,0,43.83
1032,May,24,85,Late,High,NaN,84,21,18,0,56.49
1032,Jun,27,NaN,Late,High,Active,84,,NaN,0,37.78
1033,Jan,40,100,No Submmission,High,Inactive,64,26,14,4,59.66
1033,Mar,7,,Late,Medium,,64,11,14,4,14.27
1033,Apr,13,77,On time,Low,,64,29,14,4,46.92
1033,May,22,NaN,No Submmission,Low,,64,28,14,4,34.07
1033,Jun,20,78,Late,NaN,Inactive,64,26,14,4,38.67
1034,Jan,,84,Late,High,Highly Active,63,11,,5,20.52
1034,Feb,23,91,Late,Medium,NaN,63,27,35,5,55.21
1034,Mar,17,,,High,Highly Active,63,19,35,5,39.43
1034,Apr,,65,Late,,Highly Active,63,28,NaN,5,23.73
1034,May,27,,Late,Medium,Highly Active,63,24,NaN,5,32.73
1034,Jun,33,69,,Low,Highly Active,63,12,35,5,59.83
1035,Jan,34,62,No Submmission,Medium,Active,74,11,32,3,53.65
1035,Feb,,,Late,NaN,,74,18,NaN,3,11.26
1035,Apr,35,84,On time,High,Highly Active,74,22,32,3,73.28
1035,May,38,NaN,On time,High,Highly Active,74,10,32,3,64.77
1035,Jun,28,57,Late,NaN,Highly Active,74,17,32,3,61.38
1036,Jan,15,88,Late,High,Highly Active,59,10,32,3,52.37
1036,Feb,14,,Late,High,Highly Active,59,24,32,3,42.03
1036,Mar,14,81,Late,High,NaN,59,16,NaN,3,29.72
1036,Apr,11,53,Late,High,Highly Active,59,NaN,32,3,32.88
1036,May,,68,Late,Low,Active,59,21,32,3,29.87
1036,Jun,25,86,No Submmission,Medium,Active,59,18,32,3,51.46
1037,Jan,24,,Late,Medium,,47,19,,5,21.3
1037,Feb,12,81,On time,High,NaN,47,28,21,5,48.97
1037,Mar,37,NaN,Late,Medium,Highly Active,47,NaN,,5,23.99
1037,Apr,NaN,62,Late,,Inactive,47,10,21,5,16.12
1037,May,24,93,No Submmission,Medium,Inactive,47,20,21,5,42.28
1037,Jun,38,83,Late,,Highly Active,47,NaN,21,5,44.69
1038,Jan,13,NaN,No Submmission,Low,,62,20,14,5,16.28
1038,Feb,16,66,No Submmission,Low,Inactive,62,20,14,5,34.53
1038,Mar,24,80,On time,Low,,62,23,14,5,49.41
1038,Apr,20,74,Late,High,Highly Active,62,NaN,14,5,39.91
1038,May,21,50,On time,High,Highly Active,62,15,14,5,44.44
1038,Jun,8,79,On time,Medium,Inactive,62,30,14,5,35.78
1039,Feb,11,78,Late,High,Active,86,25,34,2,58.09
1039,Mar,13,,No Submmission,High,Inactive,86,13,34,2,32.54
1039,Apr,7,81,,High,,86,,NaN,2,27.83
1039,May,25,57,,High,Inactive,86,22,34,2,63.47
1039,Jun,24,57,On time,High,,86,19,34,2,61.36
1040,Jan,20,65,On time,Low,,96,25,19,5,55.11
1040,Feb,32,,Late,Low,Inactive,96,15,19,5,39.15
1040,Mar,9,97,NaN,Low,Inactive,96,29,19,5,47.27
1040,Apr,,53,Late,High,Inactive,96,20,19,5,30.41
1040,May,28,79,Late,Medium,NaN,96,28,19,5,62.65
1040,Jun,31,87,,Medium,,96,NaN,19,5,47.37
1041,Jan,36,66,No Submmission,High,Active,90,,17,2,55.18
1041,Feb,31,89,On time,NaN,Highly Active,90,,17,2,57.69
1041,Mar,32,54,Late,Low,Active,90,24,17,2,63.33
1041,Apr,31,52,On time,Low,Highly Active,90,,17,2,51.76
1041,May,15,NaN,On time,Medium,Active,90,14,NaN,2,34.45
1041,Jun,,95,No Submmission,Low,Inactive,90,,17,2,20.96
1042,Jan,,88,On time,Low,Active,92,,34,2,28.63
1042,Feb,11,88,On time,High,Inactive,92,23,34,2,65.34
1042,Mar,NaN,54,Late,Low,,92,20,,2,25.48
1042,Apr,21,93,Late,Low,Active,92,19,34,2,63.4
1042,May,17,97,On time,Low,Inactive,92,29,34,2,61.42
1042,Jun,20,75,,Low,Highly Active,92,20,34,2,55.92
1043,Jan,40,,No Submmission,Low,Highly Active,95,30,14,3,56.9
1043,Feb,15,63,Late,High,Inactive,95,29,14,3,51.64
1043,Mar,29,83,On time,Low,Active,95,28,14,3,67.29
1043,Apr,9,73,,Low,NaN,95,20,14,3,30.53
1043,May,38,58,No Submmission,High,Active,95,21,14,3,55.54
1043,Jun,36,95,No Submmission,High,Highly Active,95,17,14,3,61.22
1044,Jan,33,75,No Submmission,Low,Highly Active,82,10,30,5,49.57
1044,Feb,12,53,On time,High,Active,82,23,30,5,49.9
1044,Mar,16,95,,Medium,Active,82,23,,5,34.41
1044,Apr,31,88,No Submmission,Low,Inactive,82,28,,5,48.44
1044,May,6,96,NaN,Low,,82,25,30,5,35.45
1044,Jun,28,63,,High,Inactive,82,,30,5,39.01
1045,Jan,32,96,On time,High,Inactive,59,NaN,25,4,58.6
1045,Feb,,92,No Submmission,High,Highly Active,59,28,25,4,36.21
1045,Mar,31,85,No Submmission,Medium,Highly Active,59,10,,4,38.07
1045,Apr,,50,No Submmission,Medium,Inactive,59,,25,4,7.64
1045,May,14,64,On time,Low,Inactive,59,11,25,4,36.88
1045,Jun,34,79,NaN,Low,Inactive,59,23,25,4,61.86
